Categorii de vehicule rutiere, Tipuri de proprietate, Judet, Ani, Valoare, lat, lng
Autobuze si microbuze,  Total,  Bihor,  Anul 2018,  1307, 46.992055, 22.1902742
Autobuze si microbuze,  Total,  Bistrita-Nasaud,  Anul 2018,  616, 47.179566, 24.5072489
Autobuze si microbuze,  Total,  Cluj,  Anul 2018,  1939, 46.769379, 23.5899542
Autobuze si microbuze,  Total,  Maramures,  Anul 2018,  1054, 47.672161, 24.1954737
Autobuze si microbuze,  Total,  Satu Mare,  Anul 2018,  822, 47.7891763, 22.8725598
Autobuze si microbuze,  Total,  Salaj,  Anul 2018,  525, 47.1562143, 23.0168599
Autobuze si microbuze,  Total,  Alba,  Anul 2018,  776, 46.0159212, 23.5468552
Autobuze si microbuze,  Total,  Brasov,  Anul 2018,  1539, 45.6523093, 25.6102746
Autobuze si microbuze,  Total,  Covasna,  Anul 2018,  443, 45.8966792, 26.0101806
Autobuze si microbuze,  Total,  Harghita,  Anul 2018,  556, 46.6440949, 25.6200809
Autobuze si microbuze,  Total,  Mures,  Anul 2018,  1254, 46.6064581, 24.6251926
Autobuze si microbuze,  Total,  Sibiu,  Anul 2018,  1096, 45.7973912, 24.1519202
Autobuze si microbuze,  Total,  Bacau,  Anul 2018,  1286, 46.4261342, 26.712054
Autobuze si microbuze,  Total,  Botosani,  Anul 2018,  781, 47.852341, 26.7595119
Autobuze si microbuze,  Total,  Iasi,  Anul 2018,  1858, 47.1615341, 27.5836142
Autobuze si microbuze,  Total,  Neamt,  Anul 2018,  1069, 46.9907829, 26.4853496
Autobuze si microbuze,  Total,  Suceava,  Anul 2018,  1228, 47.5325167, 25.8188014
Autobuze si microbuze,  Total,  Vaslui,  Anul 2018,  811, 46.496847, 27.803321
Autobuze si microbuze,  Total,  Braila,  Anul 2018,  792, 45.2716092, 27.9742932
Autobuze si microbuze,  Total,  Buzau,  Anul 2018,  982, 45.2692581, 26.7748173
Autobuze si microbuze,  Total,  Constanta,  Anul 2018,  2239, 44.1767161, 28.6507598
Autobuze si microbuze,  Total,  Galati,  Anul 2018,  1268, 45.4338215, 28.0549395
Autobuze si microbuze,  Total,  Tulcea,  Anul 2018,  513, 45.177518, 28.8016348
Autobuze si microbuze,  Total,  Vrancea,  Anul 2018,  578, 45.7887088, 26.883803
Autobuze si microbuze,  Total,  Arges,  Anul 2018,  1840, 44.9949935, 24.8486324
Autobuze si microbuze,  Total,  Calarasi,  Anul 2018,  594, 44.3159159, 27.1397574
Autobuze si microbuze,  Total,  Dambovita,  Anul 2018,  1019, 44.9267727, 25.4831821
Autobuze si microbuze,  Total,  Giurgiu,  Anul 2018,  682, 43.8958613, 25.9658299
Autobuze si microbuze,  Total,  Ialomita,  Anul 2018,  609, 44.5975731, 27.2030762
Autobuze si microbuze,  Total,  Prahova,  Anul 2018,  1955, 45.1087546, 26.037623
Autobuze si microbuze,  Total,  Teleorman,  Anul 2018,  624, 44.0681291, 25.1865318
Autobuze si microbuze,  Total,  Ilfov,  Anul 2018,  912, 44.5017074, 26.2449077
Autobuze si microbuze,  Total,  Bucuresti,  Anul 2018,  9115, 44.4361414, 26.1027202
Autobuze si microbuze,  Total,  Dolj,  Anul 2018,  1224, 44.2141283, 23.6692349
Autobuze si microbuze,  Total,  Gorj,  Anul 2018,  1082, 44.9611674, 23.3256799
