Categorii de vehicule rutiere,Tipuri de proprietate,Judet,Ani,Valoare
Autobuze si microbuze, Total, Bihor, Anul 2018, 1307
Autobuze si microbuze, Total, Bistrita-Nasaud, Anul 2018, 616
Autobuze si microbuze, Total, Cluj, Anul 2018, 1939
Autobuze si microbuze, Total, Maramures, Anul 2018, 1054
Autobuze si microbuze, Total, Satu Mare, Anul 2018, 822
Autobuze si microbuze, Total, Salaj, Anul 2018, 525
Autobuze si microbuze, Total, Alba, Anul 2018, 776
Autobuze si microbuze, Total, Brasov, Anul 2018, 1539
Autobuze si microbuze, Total, Covasna, Anul 2018, 443
Autobuze si microbuze, Total, Harghita, Anul 2018, 556
Autobuze si microbuze, Total, Mures, Anul 2018, 1254
Autobuze si microbuze, Total, Sibiu, Anul 2018, 1096
Autobuze si microbuze, Total, Bacau, Anul 2018, 1286
Autobuze si microbuze, Total, Botosani, Anul 2018, 781
Autobuze si microbuze, Total, Iasi, Anul 2018, 1858
Autobuze si microbuze, Total, Neamt, Anul 2018, 1069
Autobuze si microbuze, Total, Suceava, Anul 2018, 1228
Autobuze si microbuze, Total, Vaslui, Anul 2018, 811
Autobuze si microbuze, Total, Braila, Anul 2018, 792
Autobuze si microbuze, Total, Buzau, Anul 2018, 982
Autobuze si microbuze, Total, Constanta, Anul 2018, 2239
Autobuze si microbuze, Total, Galati, Anul 2018, 1268
Autobuze si microbuze, Total, Tulcea, Anul 2018, 513
Autobuze si microbuze, Total, Vrancea, Anul 2018, 578
Autobuze si microbuze, Total, Arges, Anul 2018, 1840
Autobuze si microbuze, Total, Calarasi, Anul 2018, 594
Autobuze si microbuze, Total, Dambovita, Anul 2018, 1019
Autobuze si microbuze, Total, Giurgiu, Anul 2018, 682
Autobuze si microbuze, Total, Ialomita, Anul 2018, 609
Autobuze si microbuze, Total, Prahova, Anul 2018, 1955
Autobuze si microbuze, Total, Teleorman, Anul 2018, 624
Autobuze si microbuze, Total, Ilfov, Anul 2018, 912
Autobuze si microbuze, Total, Bucuresti, Anul 2018, 9115
Autobuze si microbuze, Total, Dolj, Anul 2018, 1224
Autobuze si microbuze, Total, Gorj, Anul 2018, 1082
Autobuze si microbuze, Total, Mehedinti, Anul 2018, 655
Autobuze si microbuze, Total, Olt, Anul 2018, 671
Autobuze si microbuze, Total, Valcea, Anul 2018, 995
Autobuze si microbuze, Total, Arad, Anul 2018, 1131
Autobuze si microbuze, Total, Caras-Severin, Anul 2018, 641
Autobuze si microbuze, Total, Hunedoara, Anul 2018, 1243
Autobuze si microbuze, Total, Timis, Anul 2018, 1478
Autoturisme, Total, Bihor, Anul 2018, 192112
Autoturisme, Total, Bistrita-Nasaud, Anul 2018, 84429
Autoturisme, Total, Cluj, Anul 2018, 252354
Autoturisme, Total, Maramures, Anul 2018, 141661
Autoturisme, Total, Satu Mare, Anul 2018, 110145
Autoturisme, Total, Salaj, Anul 2018, 70007
Autoturisme, Total, Alba, Anul 2018, 113037
Autoturisme, Total, Brasov, Anul 2018, 194476
Autoturisme, Total, Covasna, Anul 2018, 62552
Autoturisme, Total, Harghita, Anul 2018, 94338
Autoturisme, Total, Mures, Anul 2018, 165530
Autoturisme, Total, Sibiu, Anul 2018, 137947
Autoturisme, Total, Bacau, Anul 2018, 157241
Autoturisme, Total, Botosani, Anul 2018, 80359
Autoturisme, Total, Iasi, Anul 2018, 179494
Autoturisme, Total, Neamt, Anul 2018, 125340
Autoturisme, Total, Suceava, Anul 2018, 181010
Autoturisme, Total, Vaslui, Anul 2018, 74578
Autoturisme, Total, Braila, Anul 2018, 83025
Autoturisme, Total, Buzau, Anul 2018, 118366
Autoturisme, Total, Constanta, Anul 2018, 241752
Autoturisme, Total, Galati, Anul 2018, 150342
Autoturisme, Total, Tulcea, Anul 2018, 56430
Autoturisme, Total, Vrancea, Anul 2018, 85560
Autoturisme, Total, Arges, Anul 2018, 205075
Autoturisme, Total, Calarasi, Anul 2018, 57079
Autoturisme, Total, Dambovita, Anul 2018, 129824
Autoturisme, Total, Giurgiu, Anul 2018, 64117
